"","CaseNumber","FamilyName","DimerName","NumOfCols1","NumOfCols2","NumOfColsDiff","IsHomo1","IsHomo2","FamilyMean","FamilySD","FamilyMedian","Entropy1","Entropy2","EntropyDiff","Adiff","Cdiff","Gdiff","Tdiff","AAdiff","ACdiff","AGdiff","ATdff","CAdiff","CCdiff","CGdiff","CTdff","GAdiff","GCdiff","GGdiff","GTdff","TAdiff","TCdiff","TGdiff","TTdff","OverlapDist1","OverlapDist2","OverlapDist3","OverlapDist4","OverlapDist5","MinPos1","MinPos2","MinPos3","MinPos4","MinPos5","OverlapEntropyDiff1","OverlapEntropyDiff2","OverlapEntropyDiff3","OverlapEntropyDiff4","OverlapEntropyDiff5","MaxDiffPos1","MaxDiffPos2","MaxDiffPos3","MaxDiffPos4","MaxDiffPos5","MinDiffPos1","MinDiffPos2","MinDiffPos3","MinDiffPos4","MinDiffPos5","COverlapDist1","COverlapDist2","COverlapDist3","COverlapDist4","COverlapDist5","CMinPos1","CMinPos2","CMinPos3","CMinPos4","CMinPos5","COverlapEntropyDiff1","COverlapEntropyDiff2","COverlapEntropyDiff3","COverlapEntropyDiff4","COverlapEntropyDiff5","CMaxDiffPos1","CMaxDiffPos2","CMaxDiffPos3","CMaxDiffPos4","CMaxDiffPos5","CMinDiffPos1","CMinDiffPos2","CMinDiffPos3","CMinDiffPos4","CMinDiffPos5","OverlapLength"
"1","4","Homeo_Tbox","ALX4_EOMES","13","13","0","1","0","3.28","2.52520626220249","3","1.17954981108061","1.0452162706338","0.134333540446817","0.169283684137933","-0.190127498135372","-0.00576585202643791","0.0266096660238771","0.156024233262775","-0.104623087399354","0.0159059786585125","0.107771756788937","-0.103311375946975","-0.0508405260568003","-0.0129773938857283","-0.0440792147452921","0.0208555278797319","-0.0147456441353689","-0.00140781425303061","-0.0195077775525031","0.111247516136165","-0.0490255181254231","0.00207062679498542","-0.0133572874206303","0.134248202995457","0.647197140003713","0.332504815639876","0.446100317933183","1.27031151876556","12","1","13","3","4","0.980404720815686","1.70204563837325","1.29668257992891","1.58570586632538","0.752244404065192","2","7","4","8","6","10","5","12","11","1","0.134248202995457","0.390722671499585","0.371316719546349","0.390012619143057","0.566072399067559","1","3","4","2","5","0.980404720815686","1.34122517959447","1.32637764637261","1.39120970136081","1.26341664190168","4","8","2","7","9","1","12","13","11","10","6"
"2","2","Homeo_Tbox","ALX4_TBX21","10","13","-3","1","0","3.28","2.52520626220249","3","0.638916793816548","1.17954981108061","-0.540633017264065","-0.0893846929920227","-0.120119416605109","0.317307401370815","-0.107803291773683","-0.0389621426356211","-0.0386117969528564","0.0738846749778156","-0.133627566721901","-0.0463088507412162","-0.0223701366629696","0.00193526121989173","-0.0456186201608368","0.0872284033177517","0.00436443515882206","0.0895299799599091","0.184564603678286","-0.126151164443078","-0.0494706421888342","0.177837107657529","-0.118223545462693","0.515484077002049","1.12500721455131","1.14811043308879","1.30314714448208","1.21626456161258","9","1","6","8","7","1.52023504721784","0.907437462713953","0.569883670112155","0.491685250027226","1.12825951328999","7","6","1","10","8","4","9","3","2","5","0.515484077002049","0.820245645776678","0.929533908214048","1.02293721728106","1.06160268614736","1","2","9","10","3","1.52023504721784","1.21383625496589","0.999185393347981","0.872310357517792","0.923500188672231","1","2","8","7","10","4","5","3","6","9","4"
"3","2","Homeo_Tbox","ALX4_TBX21","10","13","-3","1","0","3.28","2.52520626220249","3","0.638916793816548","1.17954981108061","-0.540633017264065","-0.0893846929920227","-0.120119416605109","0.317307401370815","-0.107803291773683","-0.0389621426356211","-0.0386117969528564","0.0738846749778156","-0.133627566721901","-0.0463088507412162","-0.0223701366629696","0.00193526121989173","-0.0456186201608368","0.0872284033177517","0.00436443515882206","0.0895299799599091","0.184564603678286","-0.126151164443078","-0.0494706421888342","0.177837107657529","-0.118223545462693","0.515484077002049","1.12500721455131","1.14811043308879","1.30314714448208","1.21626456161258","9","1","6","8","7","1.52023504721784","0.907437462713953","0.569883670112155","0.491685250027226","1.12825951328999","7","6","1","10","8","4","9","3","2","5","0.515484077002049","0.820245645776678","0.929533908214048","1.02293721728106","1.06160268614736","1","2","9","10","3","1.52023504721784","1.21383625496589","0.999185393347981","0.872310357517792","0.923500188672231","1","2","8","7","10","4","5","3","6","9","4"
"4","2","bHLH_bHLH","ARNTL_BHLHA15","10","10","0","1","1","-2.375","2.13390989232709","-1.5","0.545508176759764","0.153642494075764","0.391865682684","0.105987435374823","-0.0728410495412402","-0.123829627238586","0.0906832414050037","0.0174525748463876","-0.119624940428249","-0.000219515558226313","0.203907893315486","0.00599587868135328","0.084792650675372","-0.107580474021933","0.00709073107293333","-0.093145186069111","0.0320746077940232","0.0583581743394798","-0.136747145924669","0.11640634825048","-0.0846075708928123","-7.06993902858805e-05","0.0159166733097722","1.07568690377932","0.824001553222784","1.40362710520851","1.3874723835041","1.39586194860479","2","9","10","1","4","1.46542900265225","1.37741499059017","0.0817069739472047","0.266692081734815","0.123937192716266","1","2","10","9","4","6","8","7","3","5","1.07568690377932","0.94984422850105","1.10110518740354","1.17269698642868","1.2173299788639","2","1","3","4","5","1.46542900265225","1.42142199662121","0.974850322396543","0.797810762231111","0.663036048328142","1","2","3","4","5","8","7","9","10","6","0"
"5","4","bHLH_Homeo","ARNTL_PITX1","10","8","2","1","0","-0.916666666666667","3.17542648054294","-1.5","0.153642494075764","0.87812376234624","-0.724481268270476","-0.131994076968265","0.228482648513237","0.00898641085413016","-0.105474982399102","-0.0724470132543842","0.185689866315345","-0.0757526462916472","-0.134999892336381","0.0950695704959944","0.00100946691120126","0.0920383219014358","-0.0179561700917447","-0.0176098774040464","-0.005983451415891","-0.132411009375695","0.192218592883832","-0.135268796650997","0.0898582572343136","0.0715219041215321","-0.134977123042868","0.86961508342071","1.11002751402867","0.160626112181105","1.2956738105878","1.40702724588593","7","3","1","8","2","1.73003742956758","0.801112338766671","0.958221649822782","0.70265473138785","0","1","8","3","2","4","5","7","6","4","2","0.86961508342071","0.989821298724689","0.713422903210161","0.85898563005457","0.968593953220842","3","4","1","7","8","1.73003742956758","1.26557488416712","1.16312380605234","1.04800653738622","0.838405229908976","1","2","3","4","5","7","6","8","5","4","0"
"6","2","bHLH_Homeo","ARNTL_PITX1","8","10","-2","1","0","-0.916666666666667","3.17542648054294","-1.5","0.87812376234624","0.153642494075764","0.724481268270476","0.106411177355735","0.00948677747035537","-0.246955836837723","0.131057882011632","0.135526830010547","-0.188645599465727","0.0150187171828141","0.134999892336381","-0.0685276638211822","0.140726725461311","-0.0920383219014358","0.0786900992005777","-0.0966736440240649","0.005983451415891","-0.00932518299681732","-0.18926285973345","0.135268796650997","0.0244252641937977","-0.0980638107963442","0.0718973062867052","0.932111452363157","1.08807969500095","0.151595317287917","1.28196360117948","1.40142372647243","7","3","1","8","2","1.71554989227511","0.87666058111713","0.92336738369659","0.705419716748764","0.131247837915323","1","8","3","2","4","5","7","6","4","2","0.932111452363157","1.01009557368205","0.723928821550675","0.863437516457877","0.971034758460788","3","4","7","8","1","1.71554989227511","1.29610523669612","1.17185928569628","1.0552493934594","0.870449082350583","1","2","3","4","8","7","6","5","8","4","-1"
"7","1","bZIP_bZIP","ATF4_CEBPB","13","10","3","1","1","11.4","0.547722557505166","11","0.661035844657263","0.507750708324825","0.153285136332438","0.0244986180517773","-0.0443964750026114","0.076490566170375","-0.056592709219541","-0.0282396998679265","-0.0313065505279673","0.00995236192962157","0.0275973532490695","-0.00956663066601578","0.00896268175402005","-0.0403683866530456","0.000790393229304302","0.100149408772856","-0.0383162058774801","0.0214698674311912","-0.0115900781070968","-0.00434460675300555","0.0186333561517855","0.0749208333639561","-0.0987440974292671","0.224182936171807","0.409192360016304","1.34135162918842","0.707759638094735","0.0398993659822946","8","5","6","1","2","1.31056785071701","0","0.482698012964589","1.34857494058569","0.377982491964722","7","4","1","10","6","2","8","9","5","3","0.224182936171807","0.316687648094055","0.658242308458845","0.670621640867818","0.544477185890713","1","2","8","6","7","1.31056785071701","0.655283925358507","0.597755287893868","0.785460201066823","0.703964659246403","1","7","4","8","6","3","9","2","5","10","11"
"8","1","bZIP_bZIP","ATF4_CEBPD","13","10","3","1","1","11.4","0.547722557505166","11","0.661035844657263","0.663815892954424","-0.00278004829716028","0.0350557332444418","-0.0588159497625061","0.0751648316997142","-0.0514046151816498","-0.0229001106376609","-0.0362684828725847","0.0126274721684062","0.0366912431922486","-0.0137212424289265","0.0076118465044093","-0.0452842451987518","0.000412337089048267","0.103448739173557","-0.0437587791507457","0.0211663523161228","-0.0106952636962188","0.000589776128295694","0.0153401816042522","0.076850355467733","-0.102110179659185","0.217753756175116","0.409367344843614","1.341334494585","0.720625745240355","0.0865068189580964","8","5","6","1","2","1.23829663114644","0","0.500809238091951","1.42136137746624","0.661757462851101","7","4","1","10","6","2","8","9","3","5","0.217753756175116","0.313560550509365","0.656151865201244","0.672270335211022","0.555117631960437","1","2","8","6","7","1.23829663114644","0.619148315573222","0.579701956412798","0.79011681167616","0.764444941911148","1","7","4","6","5","3","2","9","10","8","11"
"9","4","bZIP_bZIP","ATF4_TEF","13","12","1","1","1","11.4","0.547722557505166","11","0.661035844657263","0.906669177558878","-0.245633332901614","0.011475750219747","0.0528166552685431","0.0924051635349185","-0.156697569023209","-0.00993894518599181","-0.00590618663512665","-0.00726057766496627","0.0194514919792896","0.0526350231965681","-0.000240898455222103","0.00429438823708779","-0.00514506999913433","0.10345890911727","0.0643200521191292","0.012855657405298","-0.0717811792639641","-0.136577989415723","0.00990102478441702","0.0730864425334467","-0.103152142752378","0.39546305500505","0.757783704003283","1.40179312985587","1.37690037325091","1.20782097889597","12","1","11","2","7","1.76486207887246","1.85180814455103","0.0560706550308692","0.217691541102065","0.990047842151939","2","1","7","11","12","3","10","9","4","8","0.39546305500505","0.576623379504166","0.851679962954734","0.982985065528779","1.02795224820222","1","2","3","4","5","1.76486207887246","1.80833511171175","1.22424695948479","0.972608104889107","0.976096052341674","2","1","3","7","8","10","11","9","12","4","12"
"10","2","bZIP_bZIP","CEBPG_ATF4","13","10","3","1","1","11.4","0.547722557505166","11","0.661035844657263","0.50620259295086","0.154833251706403","0.042365211637915","-0.0649788889648738","0.0667402003046033","-0.0441265229776445","-0.0155416909201361","-0.0293306350956036","0.0133171789742451","0.0293689802892678","-0.0188644572603423","0.00675480749981633","-0.0531548344135927","0.0052094791996717","0.111539070654086","-0.0679158685225222","0.0221398696698644","-0.00628860808676594","0.00418820153646737","0.0213309068298924","0.0746023143071089","-0.0973547146614571","0.271687742587199","0.402904767147643","1.36245545919206","0.777597456791026","0.126299863369513","8","6","5","1","2","1.4668424698067","1.29610085937729","0.360209377129235","1.20559163373166","0.795060677862003","1","2","7","4","10","9","8","3","6","5","0.271687742587199","0.337296254867421","0.6790159896423","0.703661356429482","0.588189057817488","1","2","8","6","7","1.4668424698067","1.38147166459199","1.04105090210441","1.08218608501122","1.02476100358138","1","2","4","3","5","9","10","8","6","7","11"
