"","name1","name2","nameOut","case","isRC","loc1","loc2","quality1","quality2","quality","overlapLen"
"1","ALX4","EOMES","ALX4_EOMES",4,0,4,11,0.358061100358979,0.236269380770805,0.594330481129783,6
"2","ALX4","TBX21","ALX4_TBX21",2,0,5,-1,0.41732544273523,0.261091535621822,0.678416978357052,4
"3","ALX4","TBX21","ALX4_TBX21_2",2,0,5,-1,0.251021703269277,0.238921624775548,0.489943328044825,4
"4","ARNTL","BHLHA15","ARNTL_BHLHA15",2,1,10,0,0.313865068824791,0.223676261953839,0.537541330778629,0
"5","ARNTL","PITX1","ARNTL_PITX1",4,0,-2,8,0.237817040526395,0.271313731091285,0.509130771617681,0
"6","ARNTL","PITX1","ARNTL_PITX1_2",2,1,9,0,0.299277314635512,0.222819107128379,0.52209642176389,-1
"7","ATF4","CEBPB","ATF4_CEBPB",1,0,0,2,0.0963117761181358,0.316876239507274,0.41318801562541,11
"8","ATF4","CEBPD","ATF4_CEBPD",1,0,0,2,0.0881747529435826,0.34417914362209,0.432353896565673,11
"9","ATF4","TEF","ATF4_TEF",4,0,0,1,0.0867836358171972,0.387963276679311,0.474746912496509,12
"10","CEBPG","ATF4","CEBPG_ATF4",2,0,2,0,0.313286777969629,0.0935866634200063,0.406873441389635,11
"11","CEBPG","CREB3L1","CEBPG_CREB3L1",2,0,1,-1,0.399690831882014,0.388172777645987,0.787863609528001,12
"12","CEBPG","ELF1","CEBPG_ELF1",3,1,9,-1,0.320720223872526,0.403416639993546,0.724136863866072,2
"13","CLOCK","BHLHA15","CLOCK_BHLHA15",4,0,-1,10,0.236097656314943,0.30346281551508,0.539560471830023,-1
"14","CLOCK","EVX1","CLOCK_EVX1",1,1,-2,8,0.189951535677674,0.224224273254915,0.414175808932589,0
"15","CLOCK","EVX1","CLOCK_EVX1_2",4,0,-2,7,0.12025864080101,0.309576942977543,0.429835583778553,1
"16","CLOCK","EVX1","CLOCK_EVX1_3",4,1,-2,10,0.218981424081317,0.23044212551414,0.449423549595457,-2
"17","CLOCK","EVX1","CLOCK_EVX1_4",4,1,-2,11,0.204216156732428,0.289707330658017,0.493923487390445,-3
"18","CLOCK","FIGLA","CLOCK_FIGLA",4,1,-1,14,0.229849304469469,0.183884347563881,0.41373365203335,-5
"19","CLOCK","FIGLA","CLOCK_FIGLA_2",4,1,-1,15,0.28612311566059,0.201653121678962,0.487776237339552,-6
"20","CLOCK","NHLH1","CLOCK_NHLH1",2,0,12,0,0.177578187104354,0.206562317462224,0.384140504566578,-2
"21","CLOCK","NHLH1","CLOCK_NHLH1_2",2,0,11,0,0.175365801726018,0.210257867255965,0.385623668981983,-1
"22","CLOCK","TBX3","CLOCK_TBX3",4,1,-2,10,0.139294720782536,0.155183193944712,0.294477914727248,-2
"23","CUX1","FOXI1","CUX1_FOXI1",2,0,10,0,0.168988677194917,0.390427053502337,0.559415730697254,-3
"24","CUX1","FOXO1","CUX1_FOXO1",2,0,10,0,0.146414973444321,0.273882922034265,0.420297895478586,-2
"25","CUX1","FOXO6","CUX1_FOXO6",2,0,10,0,0.133547461398976,0.392366008312666,0.525913469711641,-3
"26","CUX1","HOXA13","CUX1_HOXA13",3,1,9,-2,0.139991536398857,0.360853460140151,0.500844996539007,0
"27","CUX1","HOXA13","CUX1_HOXA13_2",4,1,-1,6,0.24496541273378,0.306397766969053,0.551363179702833,3
"28","CUX1","HOXB13","CUX1_HOXB13",4,1,-1,6,0.187066305099295,0.358080387468898,0.545146692568192,3
"29","CUX1","NHLH1","CUX1_NHLH1",4,1,-1,13,0.139404386437573,0.0829603754770602,0.222364761914633,-4
"30","CUX1","NHLH1","CUX1_NHLH1_2",4,1,-1,14,0.130773809120282,0.0910762981837059,0.221850107303988,-5
"31","CUX1","PITX1","CUX1_PITX1",3,0,8,-1,0.155279203212369,0.101347682143309,0.256626885355679,-1
"32","CUX1","RFX5","CUX1_RFX5",1,0,-1,8,0.129145800148737,0.461011488120214,0.590157288268951,1
"33","CUX1","RFX5","CUX1_RFX5_2",1,0,-1,7,0.0981057669094572,0.468160212872112,0.566265979781569,2
"34","CUX1","SOX15","CUX1_SOX15",2,0,-2,-9,0.10130594199115,0.472788873716321,0.574094815707471,8
"35","CUX1","SOX15","CUX1_SOX15_2",3,0,-1,-8,0.1166051979001,0.502296947255415,0.618902145155515,8
"36","CUX1","SOX15","CUX1_SOX15_3",3,0,-1,-8,0.113426190088743,0.529609046185196,0.643035236273939,8
"37","CUX1","SRF","CUX1_SRF",2,0,14,-2,0.148537853894895,0.303327642350227,0.451865496245122,0
"38","CUX1","TBX21","CUX1_TBX21",3,0,9,0,0.0976829058404295,0.252112343664216,0.349795249504646,1
"39","CUX1","TBX21","CUX1_TBX21_2",3,0,7,-1,0.364402356365782,0.291808514150803,0.656210870516584,2
"40","CUX1","TBX3","CUX1_TBX3",2,0,9,0,0.198335466894846,0.168812938755299,0.367148405650145,-1
"41","E2F1","ELK1","E2F1_ELK1",3,1,7,-1,0.454997667927013,0.228177487817333,0.683175155744345,2
"42","E2F1","ELK1","E2F1_ELK1_2",3,1,12,-1,0.411864887255245,0.199406916202757,0.611271803458002,-3
"43","E2F1","ELK1","E2F1_ELK1_3",3,1,13,-1,0.443418785353873,0.193038523874798,0.63645730922867,-4
